unique_id,Treatment,biomass_g,...1.x,x3d_leaf_area_mm2,canopy_light_penetration_depth_mm,convex_hull_area_mm2,convex_hull_area_coverage_percent,convex_hull_aspect_ratio_percent,convex_hull_circumference_mm,convex_hull_maximum_width_mm,digital_biomass_mm3,gli_average,gli_1_0_2_percent,gli_0_2_0_percent,gli_0_0_15_percent,gli_0_15_0_3_percent,gli_0_3_0_6_percent,gli_0_6_1_percent,hue_average,hue_0_25_percent,hue_25_50_percent,hue_50_75_percent,hue_75_100_percent,hue_100_125_percent,hue_125_360_percent,leaf_inclination_mm2_mm2,lightness_average_percent,lightness_0_0_percent,lightness_0_25_percent,lightness_25_50_percent,lightness_50_75_percent,lightness_75_100_percent,lightness_100_100_percent,ndvi_average,ndvi_1_0_percent,ndvi_0_0_15_percent,ndvi_0_15_0_3_percent,ndvi_0_3_0_45_percent,ndvi_0_45_0_6_percent,ndvi_0_6_1_percent,npci_average,npci_1_0_2_percent,npci_0_2_0_percent,npci_0_0_2_percent,npci_0_2_0_4_percent,npci_0_4_0_6_percent,npci_0_6_1_percent,plant_height_averaged_mm,plant_height_max_mm,projected_leaf_area_mm2,psri_average,psri_4_0_8_percent,psri_0_8_0_4_percent,psri_0_4_0_2_percent,psri_0_2_0_percent,psri_0_0_2_percent,psri_0_2_4_percent,saturation_average_percent,saturation_0_0_percent,saturation_0_25_percent,saturation_25_50_percent,saturation_50_75_percent,saturation_75_100_percent,saturation_100_100_percent,surface_angle_average,voxel_volume_total_mm3,...1.y,Plant_Num.x,avg_Chla,avg_Chlb,avg_Chla_b_ratio,avg_Chla_b_sum,avg_Chlx_c,...1,Plant_Num.y,avg_SPAD
FN-1,FN,73.904,1,82907.1,306.008,153523,32.4686,33.2349,1805.52,771.996,52704100,0.262605,0.0795029,2.05372,12.9062,49.9577,34.9158,0.0871352,113.844,0.269674,0.589593,1.43868,17.6471,56.1958,23.8591,1.66324,7.20669,0,98.1091,0.898065,0.992832,0,0,0.575062,1.50101,1.23579,2.4048,8.80129,32.3596,53.6975,0.077219,1.1353,29.5541,50.7864,15.4611,2.68974,0.373346,635.7,645.32,49846.7,0.0233428,0.0432496,0.243597,1.01636,29.3862,67.6162,1.69437,32.466,0,33.7811,52.2245,13.623,0.318648,0.0527899,37.0147,157227,1,P1,18.272842,5.392606,3.41247413246561,23.665448,4.51152182613333,1,1,34.9728
FN-2,FN,72.793,2,85354.8,332.98,176299,28.5652,61.2141,1760.5,727.919,54557700,0.256776,0.125462,3.05332,12.7947,50.3592,33.6091,0.058141,113.123,0.541017,0.902103,1.97679,17.9209,55.3355,23.3237,1.69488,7.6821,0,96.6817,1.38743,1.82195,0.108938,0,0.558014,2.51842,1.74606,3.06127,8.74685,34.2181,49.7093,0.0804196,0.916179,28.7143,50.8042,16.804,2.50557,0.25582,639.187,644.41,50360.3,0.0247536,0.0679331,0.346398,1.52207,27.6941,68.1773,2.19222,32.1699,0,34.5835,51.7883,13.3669,0.238072,0.0232564,36.2127,163396,2,P2,17.241486,5.072658,3.43606633368665,22.314144,4.46891268017778,2,2,37.9566
FN-3,FN,71.025,3,83139.2,391.13,157620,32.08,46.7208,1671.21,686.671,58799000,0.256031,0.108599,2.9808500000000002,12.477,51.0645,33.2961,0.0730232,112.2,0.421912,1.11907,2.70935,19.1096,54.109,22.5311,1.64423,8.08315,0,96.85,1.3993,1.71386,0.0368237,0,0.542876,2.44909,2.26871,3.56004,9.47929,38.042,44.2009,0.0892703,0.7889,27.9641,50.0346,17.4713,3.40151,0.339527,707.235,710.656,50564.3,0.0334172,0.0805128,0.297086,1.35187,27.0236,67.2407,4.00629,32.4448,0,31.591,55.1269,12.922,0.311441,0.0486821,37.5155,160223,3,P3,17.632174,4.888594,3.63966608256519,22.520768,4.43232368248889,3,3,32.0312
FN-4,FN,73.092,4,79734.4,355.146,133256,36.1343,42.4093,1588.9,659.292,53903900,0.257842,0.126513,3.20697,13.5817,47.024,36.0002,0.0606208,108.977,0.781482,2.17906,2.70488,22.1418,52.8568,19.3361,1.65591,8.44575,0,96.1967,1.74417,2.04134,0.0177909,0,0.540879,2.77999,3.46791,3.49558,7.85106,36.161,46.2445,0.106883,0.707682,23.6514,50.5868,20.2381,4.54063,0.275429,676.043,677.401,48151.3,0.0457229,0.0375586,0.246437,0.833537,23.2415,71.4041,4.23687,33.2612,0,30.9008,53.6277,15.1855,0.260274,0.025698,37.2052,151763,4,P4,18.256254,5.186562,3.54257709617521,23.442816,4.83790746915555,4,4,36.2326
MN-1,MN,60.597,5,66734.6,297.701,245030,16.5793,70.4946,1919.57,716.332,44887100,0.279198,0.0811446,2.96331,6.69749,44.9556,45.2917,0.0107172,108.865,0.526674,0.955363,1.24396,23.078,60.8125,13.3835,1.64273,8.8734,0,97.163,1.35343,1.48357,0,0,0.519914,2.55605,1.84719,1.86173,10.0872,58.2718,25.3761,0.114913,0.395006,18.0707,59.5364,16.8276,4.97355,0.196737,672.622,677.991,40624.2,0.049556,0.0428688,0.280179,1.25774,16.885,78.0711,3.46319,35.0263,0,19.4249,66.524,13.8497,0.20133,0,37.553,130631,9,P1,13.898482,3.551566,3.9574793916231,17.450048,4.01432175324444,5,1,24.2654
MN-2,MN,53.943,6,65592.4,350.738,80635.3,47.7593,25.5757,1519.31,726.406,41007600,0.283241,0.106826,3.83118,8.13013,39.5808,48.3098,0.0412738,105.203,0.987335,1.93097,1.99976,29.5755,53.9166,11.5899,1.70322,9.28401,0,96.3792,1.31186,2.06612,0.242787,0,0.512281,2.72326,3.05993,3.92587,10.6074,51.0161,28.6675,0.149402,0.45644,14.4183,53.6754,23.081,7.80804,0.560838,625.189,630.628,38510.8,0.0657327,0.203132,0.314005,1.05046,13.3072,78.8095,6.3157,37.368,0,17.2338,62.6116,19.618,0.516327,0.0202323,36.0035,123565,10,P2,13.107826,3.311782,3.96034037282467,16.419608,3.66554664462222,6,2,24.266
MN-3,MN,61.963,7,70101.6,496.783,95790.9,38.5935,30.8252,1477.97,662.449,51344700,0.255243,0.114301,5.00672,11.5742,46.4192,36.8396,0.0458815,105.719,1.35793,3.3083,2.35364,27.1401,51.4227,14.4173,1.89622,9.52079,0,95.5897,1.93749,2.29327,0.179501,0,0.478445,3.30588,4.82319,4.09392,13.3676,57.8824,16.527,0.135362,0.522406,17.6233,53.8303,18.7994,8.55731,0.667295,732.433,735.003,36969.1,0.06783,0.115106,0.276899,1.57285,16.1809,72.913,8.94126,34.5843,0,24.1788,58.9207,16.3829,0.492623,0.0249531,31.8699,124233,11,P3,14.19869,3.767774,3.80807121548457,17.966464,3.99145247111111,7,3,25.9574
MN-4,MN,63.601,8,66541.4,231.448,165649,24.2928,75.8335,1637.95,558.144,37741900,0.29717,0.0993838,2.80798,5.90493,36.3171,54.8469,0.0236992,102.957,0.494626,1.11845,2.04348,40.992,45.8641,9.48733,1.65358,9.21534,0,96.7907,1.32333,1.70634,0.179655,0,0.504829,2.519,1.85007,2.27436,13.2838,61.868,18.2048,0.17996,0.665872,11.2709,46.9604,30.5139,10.0813,0.507622,567.195,576.605,40240.7,0.0823841,0.126906,0.305032,1.17655,10.3283,79.5675,8.49579,39.9412,0,13.6202,60.8917,24.995,0.447227,0.0458695,37.2647,130806,12,P4,11.308898,3.012854,3.72485966273298,14.321752,3.33078642986667,8,4,23.05
LN-1,LN,39.411,9,56342.6,388.51,92660.9,36.6619,52.9781,1273.96,522.589,32405300,0.272268,0.118603,5.56175,9.06232,34.7811,50.4735,0.00269551,95.2642,1.36303,3.89592,4.09988,56.5187,26.3496,7.77297,1.65854,11.4819,0,94.4122,2.07285,3.41252,0.10243,0,0.414303,4.46647,5.4063,6.95622,27.5985,53.2086,2.36397,0.226831,0.490584,7.5097,35.0902,42.626,13.6321,0.651416,575.147,577.349,33971.2,0.132933,0.197671,0.464527,1.75927,5.57882,71.1481,20.8516,40.6251,0,13.5252,61.3364,24.8859,0.247987,0.00449252,37.1314,111296,5,P1,10.387887,2.659443,3.96414986825058,13.04733,3.09872504168889,9,1,15.282125
LN-2,LN,43.616,10,54469.6,422.973,115632,29.0876,38.337,1591.73,689.626,30179800,0.272921,0.186259,5.92305,9.18436,31.2419,53.4591,0.0053217,93.8806,1.67633,4.23696,3.75091,58.193600000000004,24.6989,7.44328,1.61945,11.9535,0,94.4202,1.9983,3.20721,0.374293,0,0.411203,4.4179,5.9603,6.9776300000000004,27.4662,53.2232,1.95484,0.238189,0.55257,6.76476,31.9408,45.3417,14.6054,0.794707,554.068,560.157,33634.5,0.139317,0.29358,0.490483,1.50338,5.02989,68.0485,24.6341,41.5127,0,12.1521,62.0838,25.4617,0.296241,0.00620865,38.1837,112746,6,P2,9.157214,2.132474,4.27393860810024,11.289688,2.75513253404444,10,2,13.2586
